iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
54,,,,,,,,,,-6.385871410369873,5.852766480529681e-05,-0.05195634812116623,0.03922634571790695,0.041932106018066406,0.011573076248168945,1794.0,0.19439469277858734,145.84848022460938,-4.302302837371826,-0.023127472028136253,-0.5044443011283875,-3.6216933727264404,-0.29086148738861084,-1.2381081581115723,1.929040789604187,-0.01053862739354372
55,,,,,,,,,,-6.359173774719238,5.852766480529681e-05,-0.04947390779852867,0.17164768278598785,0.04222822189331055,0.012276887893676758,1761.0,0.1944630891084671,145.6857147216797,-4.310082912445068,-0.022105559706687927,-1.1135226488113403,-8.529269218444824,-0.4282434284687042,-0.8942528367042542,1.8091522455215454,-0.008090694434940815
56,,,,,,,,,,-6.360045433044434,5.852766480529681e-05,-0.05631793290376663,0.2188326120376587,0.04645800590515137,0.016305923461914062,1529.0,0.19441021978855133,145.8333282470703,-4.328962802886963,-0.023116841912269592,-0.8960192799568176,-6.516744613647461,-0.3240002989768982,-0.4004783630371094,1.846183180809021,-0.00392423989251256
57,,,,,,,,,,-6.361294746398926,0.0001316872367169708,-0.037860140204429626,0.06490327417850494,0.05319476127624512,0.012353181838989258,1464.0,0.19449378550052643,145.8378448486328,-4.3278727531433105,-0.022142991423606873,-0.14634744822978973,-0.9728526473045349,-0.17136764526367188,-0.31783759593963623,1.9758038520812988,-0.00459439167752862
58,,,,,,,,,,-6.345768451690674,3.9018443203531206e-05,-0.049152180552482605,0.016166498884558678,0.050356149673461914,0.011950969696044922,1540.0,0.1945689469575882,145.8378448486328,-4.3278727531433105,-0.022668927907943726,-0.07680390030145645,-0.5178928375244141,-0.3356590270996094,-0.5854536890983582,1.991127848625183,-0.004093090072274208
59,,,,,,,,,,-6.349028587341309,8.77914935699664e-05,-0.04285018518567085,0.009935859590768814,0.04848527908325195,0.011969566345214844,1587.0,0.19445748627185822,145.8378448486328,-4.3278727531433105,-0.0227960217744112,-0.07370694726705551,-1.0653671026229858,-0.40711358189582825,-0.9253782629966736,1.9935630559921265,-0.012065825052559376
60,,,,,,,,,,-6.363847732543945,5.852766480529681e-05,-0.05743328481912613,0.05161803588271141,0.045719146728515625,0.011491775512695312,1678.0,0.19441507756710052,145.8378448486328,-4.3278727531433105,-0.021154165267944336,-0.4497426450252533,-3.275669813156128,-0.2692905366420746,-1.1557539701461792,1.94257390499115,-0.009790179319679737
61,,,,,,,,,,-6.3702263832092285,5.852766480529681e-05,-0.048116784542798996,0.18862967193126678,0.03999209403991699,0.011740922927856445,1855.0,0.19435851275920868,145.89743041992188,-4.334446430206299,-0.0216678436845541,-1.3414467573165894,-9.011816024780273,-0.4702434241771698,-0.8481804728507996,1.7867374420166016,-0.006781475152820349
62,,,,,,,,,,-6.377089023590088,8.77914935699664e-05,-0.05100671201944351,0.1785300374031067,0.049360036849975586,0.011729001998901367,1571.0,0.19434495270252228,145.77499389648438,-4.328950881958008,-0.022794315591454506,-0.8384149074554443,-5.60080099105835,-0.354569673538208,-0.32821890711784363,1.8571027517318726,-0.005753792822360992
63,,,,,,,,,,-6.375542640686035,5.852766480529681e-05,-0.04324223846197128,0.07200463116168976,0.05275917053222656,0.012012958526611328,1482.0,0.19437065720558167,145.73170471191406,-4.33049201965332,-0.022252818569540977,-0.16062411665916443,-0.9134967923164368,-0.1344672292470932,-0.28051403164863586,1.9743589162826538,-0.004669720772653818
64,,,,,,,,,,-6.368706703186035,5.852766480529681e-05,-0.05518407002091408,0.008383325301110744,0.0494692325592041,0.012254953384399414,1555.0,0.1944270133972168,145.73170471191406,-4.33049201965332,-0.021357834339141846,-0.07451412081718445,-0.45688867568969727,-0.3146713674068451,-0.5453197956085205,1.9912058115005493,-0.004049967508763075
65,,,,,,,,,,-6.357694149017334,5.852766480529681e-05,-0.04505309462547302,0.007560563739389181,0.04885506629943848,0.011509895324707031,1590.0,0.19453676044940948,145.73170471191406,-4.33049201965332,-0.021901654079556465,-0.061095718294382095,-0.9335443377494812,-0.4741123914718628,-0.9593011736869812,1.9954218864440918,-0.010944182984530926
66,,,,,,,,,,-6.348727703094482,5.852766480529681e-05,-0.04473423957824707,0.041682254523038864,0.04683208465576172,0.011754989624023438,1638.0,0.19450612366199493,145.73170471191406,-4.33049201965332,-0.02048758789896965,-0.3635222911834717,-2.8595569133758545,-0.3712305724620819,-1.3286709785461426,1.959235668182373,-0.014909006655216217
67,,,,,,,,,,-6.357720851898193,5.852766480529681e-05,-0.05213676020503044,0.1568630486726761,0.039884090423583984,0.011952877044677734,1851.0,0.19442573189735413,145.76744079589844,-4.344432830810547,-0.023484960198402405,-1.4095691442489624,-9.69284725189209,-0.5464895367622375,-1.09933340549469,1.789527416229248,-0.009354667738080025
68,,,,,,,,,,-6.367090225219727,5.852766480529681e-05,-0.0461360402405262,0.14263150095939636,0.046408891677856445,0.012871980667114258,1619.0,0.1944320946931839,145.81817626953125,-4.367066860198975,-0.020871102809906006,-0.9786252975463867,-5.890688419342041,-0.23742461204528809,-0.47820350527763367,1.8702176809310913,-0.004999847151339054
69,,,,,,,,,,-6.36090612411499,8.77914935699664e-05,-0.04047466441988945,0.09094049781560898,0.050135135650634766,0.011966228485107422,1545.0,0.19450163841247559,145.88888549804688,-4.388246536254883,-0.022008141502738,-0.3239862620830536,-2.453705310821533,-0.23698556423187256,-0.3119146525859833,1.9455171823501587,-0.004631464835256338
70,,,,,,,,,,-6.360843658447266,5.852766480529681e-05,-0.05593095347285271,0.008590096607804298,0.04900193214416504,0.011386871337890625,1589.0,0.19440223276615143,145.88888549804688,-4.388246536254883,-0.020894676446914673,-0.104429692029953,-0.4818252623081207,-0.38178858160972595,-0.5997794270515442,1.988602638244629,-0.004295476712286472
71,,,,,,,,,,-6.371469974517822,3.9018443203531206e-05,-0.04230509698390961,0.015210903249680996,0.05024123191833496,0.012209892272949219,1537.0,0.194379523396492,145.88888549804688,-4.388246536254883,-0.023073291406035423,-0.04818406701087952,-0.9141108989715576,-0.6321572661399841,-1.084426999092102,1.9935193061828613,-0.010499313473701477
72,,,,,,,,,,-6.370515823364258,8.77914935699664e-05,-0.04894890636205673,0.0165933296084404,0.04860496520996094,0.011862993240356445,1587.0,0.19443745911121368,145.88888549804688,-4.388246536254883,-0.021207069978117943,-0.30071499943733215,-2.4137930870056152,-0.4721078872680664,-1.4500703811645508,1.9741798639297485,-0.01195784006267786
73,,,,,,,,,,-6.368973731994629,5.852766480529681e-05,-0.058537960052490234,0.17321741580963135,0.04002571105957031,0.012034177780151367,1844.0,0.1943482756614685,145.93478393554688,-4.402205944061279,-0.022602327167987823,-1.2940500974655151,-8.321905136108398,-0.4352090060710907,-1.170045256614685,1.8226417303085327,-0.010389105416834354
